Threshold = 100,Infected Unit = 1,# Patient Zero = 5,Random Seeding,Hypersocial Quarantine,Quarantine Percent = 1,Leave Infection Rate = 0.8
Day,Susceptible,Infected,Recovered,Dead
0,99995,5,0,0
1,99993,7,0,0
2,99983,17,0,0
3,99979,21,0,0
4,99962,38,0,0
5,99938,62,0,0
6,99870,130,0,0
7,99774,226,0,0
8,99538,462,0,0
9,99110,890,0,0
10,98329,1671,0,0
11,97029,2971,0,0
12,95568,4432,0,0
13,93945,6050,5,0
14,92124,7869,7,0
15,89971,10012,17,0
16,87427,12552,21,0
17,84559,15403,38,0
18,81583,18355,61,1
19,78278,21592,128,2
20,74979,24795,224,2
21,71502,28036,458,4
22,67922,31188,884,6
23,64414,33915,1651,20
24,61025,36004,2937,34
25,57651,37917,4383,49
26,54402,39543,5981,74
27,50927,41197,7774,102
28,47875,42096,9894,135
29,45025,42402,12406,167
30,42357,42202,15238,203
31,39980,41603,18179,238
32,37825,40453,21445,277
33,35881,39098,24690,331
34,34131,37371,28120,378
35,32525,35397,31637,441
36,31097,33317,35093,493
37,29864,31161,38434,541
38,28727,28924,41766,583
39,27755,26647,44978,620
40,26903,24024,48409,664
41,26113,21762,51419,706
42,25488,19537,54238,737
43,24996,17361,56874,769
44,24581,15399,59218,802
45,24229,13596,61350,825
46,23950,11931,63267,852
47,23690,10441,64987,882
48,23437,9088,66573,902
49,23232,7865,67984,919
50,23076,6788,69205,931
51,22947,5780,70325,948
52,22826,4929,71288,957
53,22708,4195,72129,968
54,22632,3481,72906,981
55,22568,2920,73525,987
56,22507,2489,74008,996
57,22448,2133,74419,1000
58,22409,1820,74770,1001
59,22377,1573,75043,1007
