Threshold = 100,Infected Unit = 1,# Patient Zero = 5,Random Seeding,Random Quarantine,Quarantine Percent = 5,Leave Infection Rate = 0.8
Day,Susceptible,Infected,Recovered,Dead
0,99995,5,0,0
1,99995,5,0,0
2,99992,8,0,0
3,99988,12,0,0
4,99985,15,0,0
5,99980,20,0,0
6,99969,31,0,0
7,99958,42,0,0
8,99938,62,0,0
9,99903,97,0,0
10,99845,155,0,0
11,99684,316,0,0
12,99445,555,0,0
13,99006,989,5,0
14,98185,1810,5,0
15,96859,3133,8,0
16,94914,5074,12,0
17,92311,7674,15,0
18,89246,10734,20,0
19,85733,14236,31,0
20,82050,17908,42,0
21,78084,21854,62,0
22,74078,25825,97,0
23,70041,29804,152,3
24,66224,33460,312,4
25,62481,36964,547,8
26,58750,40256,975,19
27,54714,43471,1785,30
28,51016,45843,3093,48
29,47505,47409,5017,69
30,44371,47940,7589,100
31,41494,47752,10610,144
32,38882,46851,14077,190
33,36614,45436,17706,244
34,34676,43408,21615,301
35,32897,41181,25583,339
36,31328,38713,29554,405
37,30025,36199,33331,445
38,28895,33586,37033,486
39,27897,30853,40719,531
40,26990,27724,44696,590
41,26234,24782,48338,646
42,25521,21984,51804,691
43,24980,19391,54902,727
44,24497,16997,57744,762
45,24078,14804,60319,799
46,23736,12878,62560,826
47,23428,11248,64475,849
48,23177,9720,66225,878
49,22954,8374,67775,897
50,22780,7245,69062,913
51,22638,6257,70174,931
52,22489,5408,71157,946
53,22382,4608,72060,950
54,22304,3930,72807,959
55,22226,3295,73514,965
56,22165,2815,74046,974
57,22103,2394,74523,980
58,22048,2030,74940,982
59,22015,1721,75275,989
