Threshold = 100,Infected Unit = 1,# Patient Zero = 5,Random Seeding,Random Quarantine,Quarantine Percent = 2,Leave Infection Rate = 0.8
Day,Susceptible,Infected,Recovered,Dead
0,99995,5,0,0
1,99995,5,0,0
2,99993,7,0,0
3,99992,8,0,0
4,99991,9,0,0
5,99991,9,0,0
6,99990,10,0,0
7,99990,10,0,0
8,99985,15,0,0
9,99983,17,0,0
10,99983,17,0,0
11,99971,29,0,0
12,99939,61,0,0
13,99868,127,5,0
14,99722,273,5,0
15,99442,551,7,0
16,98940,1052,8,0
17,97961,2030,9,0
18,96524,3467,9,0
19,94342,5648,10,0
20,91596,8394,10,0
21,88264,11721,15,0
22,84512,15471,17,0
23,80463,19520,17,0
24,76333,23638,29,0
25,72072,27867,61,0
26,67824,32044,130,2
27,63526,36196,274,4
28,59387,40055,548,10
29,55273,43667,1041,19
30,51451,46510,2004,35
31,47884,48640,3417,59
32,44629,49713,5571,87
33,41709,49887,8287,117
34,38952,49312,11578,158
35,36593,47919,15284,204
36,34438,46025,19282,255
37,32614,43719,23356,311
38,31023,41049,27566,362
39,29612,38212,31762,414
40,28412,35114,35998,476
41,27322,32065,40082,531
42,26424,28849,44150,577
43,25667,25784,47915,634
44,24992,22892,51444,672
45,24444,20185,54659,712
46,23969,17740,57541,750
47,23577,15375,60260,788
48,23268,13325,62590,817
49,22989,11449,64725,837
50,22747,9867,66526,860
51,22561,8462,68097,880
52,22367,7245,69487,901
53,22205,6207,70674,914
54,22080,5242,71755,923
55,21982,4442,72640,936
56,21891,3776,73389,944
57,21814,3178,74058,950
58,21751,2693,74597,959
59,21689,2280,75067,964
