Threshold = 100,Infected Unit = 1,# Patient Zero = 5,Random Seeding,No Quarantine,Leave Infection Rate = 0.8
Day,Susceptible,Infected,Recovered,Dead
0,99994,6,0,0
1,99978,22,0,0
2,99962,38,0,0
3,99891,109,0,0
4,99726,274,0,0
5,99450,550,0,0
6,98951,1049,0,0
7,98064,1936,0,0
8,96546,3454,0,0
9,94391,5609,0,0
10,91680,8320,0,0
11,88339,11661,0,0
12,84511,15489,0,0
13,80424,19570,6,0
14,76185,23793,20,2
15,71799,28163,36,2
16,67402,32489,106,3
17,63136,36590,269,5
18,59097,40353,544,6
19,55089,43862,1037,12
20,51349,46715,1912,24
21,47914,48632,3406,48
22,44679,49712,5530,79
23,41747,49933,8202,118
24,39080,49259,11488,173
25,36692,47819,15266,223
26,34554,45870,19304,272
27,32741,43444,23505,310
28,31184,40615,27835,366
29,29769,37633,32169,429
30,28562,34574,36382,482
31,27468,31629,40365,538
32,26560,28529,44317,594
33,25781,25568,48020,631
34,25082,22832,51419,667
35,24530,20149,54607,714
36,24054,17693,57503,750
37,23651,15429,60145,775
38,23267,13425,62500,808
39,22989,11565,64605,841
40,22732,10009,66397,862
41,22503,8681,67935,881
42,22330,7439,69332,899
43,22187,6375,70522,916
44,22042,5426,71601,931
45,21933,4627,72501,939
46,21829,3952,73270,949
47,21759,3323,73962,956
48,21688,2842,74510,960
49,21642,2412,74980,966
50,21583,2068,75377,972
51,21536,1731,75757,976
52,21504,1485,76030,981
53,21478,1254,76285,983
54,21455,1048,76512,985
55,21437,893,76682,988
56,21423,764,76824,989
57,21411,631,76968,990
58,21403,530,77075,992
59,21383,446,77179,992
