Threshold = 100,Infected Unit = 1,# Patient Zero = 5,Random Seeding,Hypersocial Quarantine,Quarantine Percent = 10,Leave Infection Rate = 0.8
Day,Susceptible,Infected,Recovered,Dead
0,99995,5,0,0
1,99983,17,0,0
2,99962,38,0,0
3,99938,62,0,0
4,99870,130,0,0
5,99755,245,0,0
6,99479,521,0,0
7,99036,964,0,0
8,98313,1687,0,0
9,97047,2953,0,0
10,95155,4845,0,0
11,92763,7237,0,0
12,91375,8625,0,0
13,90223,9772,5,0
14,89046,10937,17,0
15,87781,12181,38,0
16,86452,13486,62,0
17,84979,14891,128,2
18,83285,16470,241,4
19,81558,17921,510,11
20,79744,19292,946,18
21,77807,20506,1661,26
22,75855,21192,2902,51
23,73833,21322,4775,70
24,71816,20947,7147,90
25,69720,21655,8513,112
26,67655,22568,9652,125
27,64189,24857,10819,135
28,60920,26861,12072,147
29,57874,28578,13388,160
30,54926,30053,14835,186
31,52114,31171,16496,219
32,49422,32136,18199,243
33,46926,32818,19990,266
34,44518,33289,21903,290
35,42342,33513,23830,315
36,40331,33502,25827,340
37,38457,33359,27824,360
38,36727,32993,29902,378
39,35104,32551,31951,394
40,33560,30629,35376,435
41,32229,28691,38601,479
42,31086,26788,41605,521
43,30117,24809,44511,563
44,29222,22892,47291,595
45,28485,20937,49944,634
46,27853,19073,52411,663
47,27318,17200,54784,698
48,26800,15542,56930,728
49,26376,13955,58909,760
50,26052,12405,60758,785
51,25722,11005,62473,800
52,25427,9677,64076,820
53,25188,8372,65602,838
54,24985,7244,66917,854
55,24817,6269,68046,868
56,24637,5480,68997,886
57,24527,4695,69881,897
58,24425,4060,70607,908
59,24326,3527,71229,918
